,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
United States,Depression,18+,2013,Percent,26%
United States,Depression,18+,2013,Num of persons,"17,020,084"
United States,Depression,18+,2014,Percent,26%
United States,Depression,18+,2014,Num of persons,"17,026,902"
United States,Depression,18+,2015,Percent,26%
United States,Depression,18+,2015,Num of persons,"15,135,598"
United States,Depression,18+,2016,Percent,24%
United States,Depression,18+,2016,Num of persons,"14,565,793"
United States,Diabetes,18+,2013,Percent,14%
United States,Diabetes,18+,2013,Num of persons,"9,586,639"
United States,Diabetes,18+,2014,Percent,15%
United States,Diabetes,18+,2014,Num of persons,"9,718,895"
United States,Diabetes,18+,2015,Percent,15%
United States,Diabetes,18+,2015,Num of persons,"9,014,009"
United States,Diabetes,18+,2016,Percent,16%
United States,Diabetes,18+,2016,Num of persons,"9,316,073"
United States,Pre-diabetes or borderline diabetes,18+,2013,Percent,5%
United States,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"3,322,944"
United States,Pre-diabetes or borderline diabetes,18+,2014,Percent,6%
United States,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"3,683,984"
United States,Pre-diabetes or borderline diabetes,18+,2015,Percent,3%
United States,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"2,028,539"
United States,Pre-diabetes or borderline diabetes,18+,2016,Percent,5%
United States,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"3,030,140"
United States,Heart disease (angina or CHD),18+,2013,Percent,6%
United States,Heart disease (angina or CHD),18+,2013,Num of persons,"3,875,276"
United States,Heart disease (angina or CHD),18+,2014,Percent,6%
United States,Heart disease (angina or CHD),18+,2014,Num of persons,"3,921,549"
United States,Heart disease (angina or CHD),18+,2015,Percent,6%
United States,Heart disease (angina or CHD),18+,2015,Num of persons,"3,345,367"
United States,Heart disease (angina or CHD),18+,2016,Percent,6%
United States,Heart disease (angina or CHD),18+,2016,Num of persons,"3,675,589"
United States,High cholesterol (among those tested),18+,2013,Percent,43%
United States,High cholesterol (among those tested),18+,2013,Num of persons,"20,001,138"
United States,High cholesterol (among those tested),18+,2014,Percent,NA
United States,High cholesterol (among those tested),18+,2014,Num of persons,NA
United States,High cholesterol (among those tested),18+,2015,Percent,41%
United States,High cholesterol (among those tested),18+,2015,Num of persons,"17,415,620"
United States,High cholesterol (among those tested),18+,2016,Percent,NA
United States,High cholesterol (among those tested),18+,2016,Num of persons,NA
United States,Hypertension,18+,2013,Percent,38%
United States,Hypertension,18+,2013,Num of persons,"24,954,670"
United States,Hypertension,18+,2014,Percent,NA
United States,Hypertension,18+,2014,Num of persons,NA
United States,Hypertension,18+,2015,Percent,37%
United States,Hypertension,18+,2015,Num of persons,"22,135,618"
United States,Hypertension,18+,2016,Percent,NA
United States,Hypertension,18+,2016,Num of persons,NA
Utah,Arthritis,18+,2013,Percent,23%
Utah,Arthritis,18+,2013,Num of persons,"91,868"
Utah,Arthritis,18+,2014,Percent,22%
Utah,Arthritis,18+,2014,Num of persons,"89,349"
Utah,Arthritis,18+,2015,Percent,25%
Utah,Arthritis,18+,2015,Num of persons,"82,711"
Utah,Arthritis,18+,2016,Percent,23%
Utah,Arthritis,18+,2016,Num of persons,"77,135"
Utah,Asthma (current),18+,2013,Percent,12%
Utah,Asthma (current),18+,2013,Num of persons,"48,427"
Utah,Asthma (current),18+,2014,Percent,12%
Utah,Asthma (current),18+,2014,Num of persons,"46,727"
Utah,Asthma (current),18+,2015,Percent,10%
Utah,Asthma (current),18+,2015,Num of persons,"33,381"
Utah,Asthma (current),18+,2016,Percent,11%
Utah,Asthma (current),18+,2016,Num of persons,"37,352"
Utah,Cancer,18+,2013,Percent,11%
Utah,Cancer,18+,2013,Num of persons,"45,260"
Utah,Cancer,18+,2014,Percent,10%
Utah,Cancer,18+,2014,Num of persons,"42,502"
Utah,Cancer,18+,2015,Percent,12%
Utah,Cancer,18+,2015,Num of persons,"40,105"
Utah,Cancer,18+,2016,Percent,11%
Utah,Cancer,18+,2016,Num of persons,"36,283"
Utah,Chronic kidney disease,18+,2013,Percent,5%
Utah,Chronic kidney disease,18+,2013,Num of persons,"20,292"
Utah,Chronic kidney disease,18+,2014,Percent,4%
Utah,Chronic kidney disease,18+,2014,Num of persons,"17,140"
Utah,Chronic kidney disease,18+,2015,Percent,5%
Utah,Chronic kidney disease,18+,2015,Num of persons,"16,420"
Utah,Chronic kidney disease,18+,2016,Percent,4%
Utah,Chronic kidney disease,18+,2016,Num of persons,"14,014"
Utah,COPD,18+,2013,Percent,8%
Utah,COPD,18+,2013,Num of persons,"32,273"
Utah,COPD,18+,2014,Percent,6%
Utah,COPD,18+,2014,Num of persons,"24,672"
Utah,COPD,18+,2015,Percent,8%
Utah,COPD,18+,2015,Num of persons,"25,255"
Utah,COPD,18+,2016,Percent,7%
Utah,COPD,18+,2016,Num of persons,"22,117"
Utah,Depression,18+,2013,Percent,32%
Utah,Depression,18+,2013,Num of persons,"124,807"
Utah,Depression,18+,2014,Percent,29%
Utah,Depression,18+,2014,Num of persons,"117,726"
Utah,Depression,18+,2015,Percent,29%
Utah,Depression,18+,2015,Num of persons,"96,172"
Utah,Depression,18+,2016,Percent,30%
Utah,Depression,18+,2016,Num of persons,"99,429"
Utah,Diabetes,18+,2013,Percent,10%
Utah,Diabetes,18+,2013,Num of persons,"38,256"
Utah,Diabetes,18+,2014,Percent,10%
Utah,Diabetes,18+,2014,Num of persons,"41,885"
Utah,Diabetes,18+,2015,Percent,10%
Utah,Diabetes,18+,2015,Num of persons,"31,915"
Utah,Diabetes,18+,2016,Percent,9%
Utah,Diabetes,18+,2016,Num of persons,"28,775"
Utah,Pre-diabetes or borderline diabetes,18+,2013,Percent,1%
Utah,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"4,889"
Utah,Pre-diabetes or borderline diabetes,18+,2014,Percent,1%
Utah,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"3,746"
Utah,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Utah,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"6,010"
Utah,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
Utah,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"6,703"
Utah,Heart disease (angina or CHD),18+,2013,Percent,4%
Utah,Heart disease (angina or CHD),18+,2013,Num of persons,"14,438"
Utah,Heart disease (angina or CHD),18+,2014,Percent,3%
Utah,Heart disease (angina or CHD),18+,2014,Num of persons,"13,913"
Utah,Heart disease (angina or CHD),18+,2015,Percent,4%
Utah,Heart disease (angina or CHD),18+,2015,Num of persons,"14,098"
Utah,Heart disease (angina or CHD),18+,2016,Percent,4%
Utah,Heart disease (angina or CHD),18+,2016,Num of persons,"11,594"
Utah,High cholesterol (among those tested),18+,2013,Percent,37%
Utah,High cholesterol (among those tested),18+,2013,Num of persons,"85,993"
Utah,High cholesterol (among those tested),18+,2014,Percent,NA
Utah,High cholesterol (among those tested),18+,2014,Num of persons,NA
Utah,High cholesterol (among those tested),18+,2015,Percent,36%
Utah,High cholesterol (among those tested),18+,2015,Num of persons,"70,682"
Utah,High cholesterol (among those tested),18+,2016,Percent,NA
Utah,High cholesterol (among those tested),18+,2016,Num of persons,NA
Utah,Hypertension,18+,2013,Percent,27%
Utah,Hypertension,18+,2013,Num of persons,"105,363"
Utah,Hypertension,18+,2014,Percent,NA
Utah,Hypertension,18+,2014,Num of persons,NA
Utah,Hypertension,18+,2015,Percent,26%
Utah,Hypertension,18+,2015,Num of persons,"87,702"
Utah,Hypertension,18+,2016,Percent,NA
Utah,Hypertension,18+,2016,Num of persons,NA
Virginia,Arthritis,18+,2013,Percent,34%
Virginia,Arthritis,18+,2013,Num of persons,"500,485"
Virginia,Arthritis,18+,2014,Percent,34%
Virginia,Arthritis,18+,2014,Num of persons,"467,098"
Virginia,Arthritis,18+,2015,Percent,30%
Virginia,Arthritis,18+,2015,Num of persons,"386,284"
Virginia,Arthritis,18+,2016,Percent,34%
Virginia,Arthritis,18+,2016,Num of persons,"436,737"
Virginia,Asthma (current),18+,2013,Percent,13%
Virginia,Asthma (current),18+,2013,Num of persons,"195,703"
Virginia,Asthma (current),18+,2014,Percent,13%
Virginia,Asthma (current),18+,2014,Num of persons,"184,444"
Virginia,Asthma (current),18+,2015,Percent,11%
Virginia,Asthma (current),18+,2015,Num of persons,"144,973"
Virginia,Asthma (current),18+,2016,Percent,13%
Virginia,Asthma (current),18+,2016,Num of persons,"165,023"
Virginia,Cancer,18+,2013,Percent,10%
Virginia,Cancer,18+,2013,Num of persons,"154,281"
Virginia,Cancer,18+,2014,Percent,12%
Virginia,Cancer,18+,2014,Num of persons,"158,045"
Virginia,Cancer,18+,2015,Percent,10%
Virginia,Cancer,18+,2015,Num of persons,"132,134"
Virginia,Cancer,18+,2016,Percent,10%
Virginia,Cancer,18+,2016,Num of persons,"136,563"
Virginia,Chronic kidney disease,18+,2013,Percent,4%
Virginia,Chronic kidney disease,18+,2013,Num of persons,"63,281"
Virginia,Chronic kidney disease,18+,2014,Percent,4%
Virginia,Chronic kidney disease,18+,2014,Num of persons,"50,741"
Virginia,Chronic kidney disease,18+,2015,Percent,3%
Virginia,Chronic kidney disease,18+,2015,Num of persons,"35,250"
Virginia,Chronic kidney disease,18+,2016,Percent,4%
Virginia,Chronic kidney disease,18+,2016,Num of persons,"55,485"
Virginia,COPD,18+,2013,Percent,13%
Virginia,COPD,18+,2013,Num of persons,"193,610"
Virginia,COPD,18+,2014,Percent,12%
Virginia,COPD,18+,2014,Num of persons,"168,380"
Virginia,COPD,18+,2015,Percent,12%
Virginia,COPD,18+,2015,Num of persons,"149,064"
Virginia,COPD,18+,2016,Percent,12%
Virginia,COPD,18+,2016,Num of persons,"150,995"
Virginia,Depression,18+,2013,Percent,26%
Virginia,Depression,18+,2013,Num of persons,"381,131"
Virginia,Depression,18+,2014,Percent,27%
Virginia,Depression,18+,2014,Num of persons,"374,833"
Virginia,Depression,18+,2015,Percent,26%
Virginia,Depression,18+,2015,Num of persons,"325,364"
Virginia,Depression,18+,2016,Percent,25%
Virginia,Depression,18+,2016,Num of persons,"319,244"
Virginia,Diabetes,18+,2013,Percent,15%
Virginia,Diabetes,18+,2013,Num of persons,"224,987"
Virginia,Diabetes,18+,2014,Percent,15%
Virginia,Diabetes,18+,2014,Num of persons,"202,508"
Virginia,Diabetes,18+,2015,Percent,14%
Virginia,Diabetes,18+,2015,Num of persons,"180,773"
Virginia,Diabetes,18+,2016,Percent,15%
Virginia,Diabetes,18+,2016,Num of persons,"200,001"
Virginia,Pre-diabetes or borderline diabetes,18+,2013,Percent,8%
Virginia,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"114,979"
Virginia,Pre-diabetes or borderline diabetes,18+,2014,Percent,7%
Virginia,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"102,099"
Virginia,Pre-diabetes or borderline diabetes,18+,2015,Percent,10%
Virginia,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"122,521"
Virginia,Pre-diabetes or borderline diabetes,18+,2016,Percent,10%
Virginia,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"130,583"
Virginia,Heart disease (angina or CHD),18+,2013,Percent,7%
Virginia,Heart disease (angina or CHD),18+,2013,Num of persons,"100,608"
Virginia,Heart disease (angina or CHD),18+,2014,Percent,6%
Virginia,Heart disease (angina or CHD),18+,2014,Num of persons,"77,431"
Virginia,Heart disease (angina or CHD),18+,2015,Percent,5%
Virginia,Heart disease (angina or CHD),18+,2015,Num of persons,"65,425"
Virginia,Heart disease (angina or CHD),18+,2016,Percent,7%
Virginia,Heart disease (angina or CHD),18+,2016,Num of persons,"85,360"
Virginia,High cholesterol (among those tested),18+,2013,Percent,47%
Virginia,High cholesterol (among those tested),18+,2013,Num of persons,"515,924"
Virginia,High cholesterol (among those tested),18+,2014,Percent,NA
Virginia,High cholesterol (among those tested),18+,2014,Num of persons,NA
Virginia,High cholesterol (among those tested),18+,2015,Percent,41%
Virginia,High cholesterol (among those tested),18+,2015,Num of persons,"373,847"
Virginia,High cholesterol (among those tested),18+,2016,Percent,NA
Virginia,High cholesterol (among those tested),18+,2016,Num of persons,NA
Virginia,Hypertension,18+,2013,Percent,42%
Virginia,Hypertension,18+,2013,Num of persons,"622,420"
Virginia,Hypertension,18+,2014,Percent,NA
Virginia,Hypertension,18+,2014,Num of persons,NA
Virginia,Hypertension,18+,2015,Percent,40%
Virginia,Hypertension,18+,2015,Num of persons,"514,032"
Virginia,Hypertension,18+,2016,Percent,NA
Virginia,Hypertension,18+,2016,Num of persons,NA
Vermont,Arthritis,18+,2013,Percent,37%
Vermont,Arthritis,18+,2013,Num of persons,"38,650"
Vermont,Arthritis,18+,2014,Percent,37%
Vermont,Arthritis,18+,2014,Num of persons,"38,960"
Vermont,Arthritis,18+,2015,Percent,38%
Vermont,Arthritis,18+,2015,Num of persons,"34,282"
Vermont,Arthritis,18+,2016,Percent,38%
Vermont,Arthritis,18+,2016,Num of persons,"38,305"
Vermont,Asthma (current),18+,2013,Percent,18%
Vermont,Asthma (current),18+,2013,Num of persons,"18,490"
Vermont,Asthma (current),18+,2014,Percent,18%
Vermont,Asthma (current),18+,2014,Num of persons,"18,523"
Vermont,Asthma (current),18+,2015,Percent,16%
Vermont,Asthma (current),18+,2015,Num of persons,"14,681"
Vermont,Asthma (current),18+,2016,Percent,17%
Vermont,Asthma (current),18+,2016,Num of persons,"17,121"
Vermont,Cancer,18+,2013,Percent,13%
Vermont,Cancer,18+,2013,Num of persons,"13,921"
Vermont,Cancer,18+,2014,Percent,13%
Vermont,Cancer,18+,2014,Num of persons,"13,352"
Vermont,Cancer,18+,2015,Percent,12%
Vermont,Cancer,18+,2015,Num of persons,"11,108"
Vermont,Cancer,18+,2016,Percent,14%
Vermont,Cancer,18+,2016,Num of persons,"14,055"
Vermont,Chronic kidney disease,18+,2013,Percent,4%
Vermont,Chronic kidney disease,18+,2013,Num of persons,"3,707"
Vermont,Chronic kidney disease,18+,2014,Percent,6%
Vermont,Chronic kidney disease,18+,2014,Num of persons,"5,787"
Vermont,Chronic kidney disease,18+,2015,Percent,4%
Vermont,Chronic kidney disease,18+,2015,Num of persons,"3,805"
Vermont,Chronic kidney disease,18+,2016,Percent,5%
Vermont,Chronic kidney disease,18+,2016,Num of persons,"4,854"
Vermont,COPD,18+,2013,Percent,12%
Vermont,COPD,18+,2013,Num of persons,"12,792"
Vermont,COPD,18+,2014,Percent,13%
Vermont,COPD,18+,2014,Num of persons,"13,908"
Vermont,COPD,18+,2015,Percent,13%
Vermont,COPD,18+,2015,Num of persons,"12,056"
Vermont,COPD,18+,2016,Percent,14%
Vermont,COPD,18+,2016,Num of persons,"14,346"
Vermont,Depression,18+,2013,Percent,37%
Vermont,Depression,18+,2013,Num of persons,"39,247"
Vermont,Depression,18+,2014,Percent,35%
Vermont,Depression,18+,2014,Num of persons,"36,219"
Vermont,Depression,18+,2015,Percent,37%
Vermont,Depression,18+,2015,Num of persons,"34,063"
Vermont,Depression,18+,2016,Percent,37%
Vermont,Depression,18+,2016,Num of persons,"38,138"
Vermont,Diabetes,18+,2013,Percent,12%
Vermont,Diabetes,18+,2013,Num of persons,"12,640"
Vermont,Diabetes,18+,2014,Percent,13%
Vermont,Diabetes,18+,2014,Num of persons,"13,611"
Vermont,Diabetes,18+,2015,Percent,13%
Vermont,Diabetes,18+,2015,Num of persons,"12,107"
Vermont,Diabetes,18+,2016,Percent,15%
Vermont,Diabetes,18+,2016,Num of persons,"15,011"
Vermont,Pre-diabetes or borderline diabetes,18+,2013,Percent,1%
Vermont,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,798
Vermont,Pre-diabetes or borderline diabetes,18+,2014,Percent,7%
Vermont,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"7,225"
Vermont,Pre-diabetes or borderline diabetes,18+,2015,Percent,1%
Vermont,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,808
Vermont,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
Vermont,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"1,616"
Vermont,Heart disease (angina or CHD),18+,2013,Percent,6%
Vermont,Heart disease (angina or CHD),18+,2013,Num of persons,"5,983"
Vermont,Heart disease (angina or CHD),18+,2014,Percent,7%
Vermont,Heart disease (angina or CHD),18+,2014,Num of persons,"7,416"
Vermont,Heart disease (angina or CHD),18+,2015,Percent,7%
Vermont,Heart disease (angina or CHD),18+,2015,Num of persons,"6,311"
Vermont,Heart disease (angina or CHD),18+,2016,Percent,7%
Vermont,Heart disease (angina or CHD),18+,2016,Num of persons,"7,149"
Vermont,High cholesterol (among those tested),18+,2013,Percent,39%
Vermont,High cholesterol (among those tested),18+,2013,Num of persons,"30,611"
Vermont,High cholesterol (among those tested),18+,2014,Percent,NA
Vermont,High cholesterol (among those tested),18+,2014,Num of persons,NA
Vermont,High cholesterol (among those tested),18+,2015,Percent,38%
Vermont,High cholesterol (among those tested),18+,2015,Num of persons,"27,199"
Vermont,High cholesterol (among those tested),18+,2016,Percent,NA
Vermont,High cholesterol (among those tested),18+,2016,Num of persons,NA
Vermont,Hypertension,18+,2013,Percent,38%
Vermont,Hypertension,18+,2013,Num of persons,"39,657"
Vermont,Hypertension,18+,2014,Percent,NA
Vermont,Hypertension,18+,2014,Num of persons,NA
Vermont,Hypertension,18+,2015,Percent,38%
Vermont,Hypertension,18+,2015,Num of persons,"34,505"
Vermont,Hypertension,18+,2016,Percent,NA
Vermont,Hypertension,18+,2016,Num of persons,NA
Washington,Arthritis,18+,2013,Percent,29%
Washington,Arthritis,18+,2013,Num of persons,"347,822"
Washington,Arthritis,18+,2014,Percent,32%
Washington,Arthritis,18+,2014,Num of persons,"356,279"
Washington,Arthritis,18+,2015,Percent,30%
Washington,Arthritis,18+,2015,Num of persons,"295,008"
Washington,Arthritis,18+,2016,Percent,30%
Washington,Arthritis,18+,2016,Num of persons,"301,952"
Washington,Asthma (current),18+,2013,Percent,13%
Washington,Asthma (current),18+,2013,Num of persons,"158,781"
Washington,Asthma (current),18+,2014,Percent,13%
